text,label_class,label
你好，麻烦问一下能否介绍一下微囊肿腺癌定义的意思,定义,0
16岁心率才52，正常吗,预防,2
请问得了腹膜炎治疗多长时间,治疗时间,11
产后满月洗头后头痛是怎么回事呢？我有点担心，会不会是月子没有做好呀。,病因,1
七个月孩子拉肚子吃什么主食最佳,其他,12
采取什么措施避开继发性粘连性蛛网膜炎,预防,2
小便时痛是怎么回事，这个情况已经有一个多星期了开始时没有注意,临床表现(病症表现),3
强迫症容易复发吗,治愈率,8
我昨天空腹检查的糖耐量，胰岛素180分钟出来的结果是4111，请问正常吗?怎么治疗？,其他,12
糖尿病脑梗死前天刚开始发作能治好吗48岁，女,治愈率,8
姑父得了肛管直肠肿瘤，肛门疼痛，是不是肛管直肠病引起的？,相关病症,4
你好，心衰病人，今年70岁，吃芪苈强心胶囊来治疗可以吗？,治疗方法,5
怎样解释小儿淋巴样息肉的定义,定义,0
心包缩窄的治疗与预防方法有哪些？,其他,12
我想请问一下，晚上两个小时就要小便，请问是什么问题啊,临床表现(病症表现),3
最近在工厂坐着打寒假工，不知是不是坐得太久了，这两天屁眼疼疼的！请问是什么原因呢？怎样才能消疼呢？谢谢！,治疗方法,5
请教一下副溶血性弧菌食物中毒要治多久,治疗时间,11
",我家宝贝从出生就有在大腿内侧一个包块主要症状：呈青紫色突出皮肤，诊断是血管瘤，内蒙古婴儿的血管瘤较好在什么时间治疗?",治疗时间,11
脊髓灰质炎的传播途径是什么？,传染性,7
便秘，老想上厕所，大便费力，腹部不适，疼还不严重，是得了直肠炎吗？直肠炎的表现有什么？,其他,12
过敏性哮喘有什么偏方,治疗方法,5
爸爸是有冠心病的情况，之前是吃其他药的，现在可以换成其他的吗？,治疗方法,5
女，15，大便出血，第一次.请问这是为什？女，15，大便出血，第一次.请问这是为什么。,病因,1
你好，麻烦问一下老年人支气管哮喘能治好不,治愈率,8
"頭腦空白很會發呆,很會走神,很像傻子,注意力不集中,感觉大脑变得迟钝,記憶下降",临床表现(病症表现),3
你好。医生。想问一下，压氏达有没有的高血压人吃吃的,治疗方法,5
女性尿急吃什么药,治疗方法,5
如何诊断脑出血？,预防,2
小孩刚刚上一年级，发现他对学习不敢兴趣的，姐妹们懂得如何去培养呢?,其他,12
尿路感染会引起妇科病吗,相关病症,4
宝宝56天了。大便是青色的怎么了,病因,1
痔疮跟抽烟有什么联系？,病因,1
手淫会导致阴茎短小吗？,病因,1
有孕期睡不着的妈妈吗？请问各位妈妈有知道这个睡不着怎么办吗？是激素的原因吗？,其他,12
请问，肛门旁边有一肿块是什么,病因,1
不洁性行为后的第三天龟头沟那里发现肉色小点点不痛不痒的会不会是尖锐湿疣？,定义,0
你好，医生，小便细，排尿困难，谢谢,其他,12
表姐前段时间一直在咳嗽。但不发烧。我们劝她不要轻视，赶紧去医院做检查。结果是支气管扩张。请问支气管扩张是什么病啊？,定义,0
什么药枕治高血压最好？,治疗方法,5
是不是高血压造成的心慌,病因,1
宝宝九个月，长期服用优甲乐，有必要做血常规和肝功能检查吗。临床甲减的宝宝是不是比较贪睡，要紧吗？宝宝身高体重都在标准里,其他,12
之前一直有口臭，不过臭气不会从鼻子出来，最近不知怎么回事，鼻子会呼出很重的臭气,其他,12
小舞蹈病要做哪些检查,化验/体检方案,10
我的月经来了两天很少，过去我感觉很恶心？,其他,12
请问吃了两天加味逍遥丸阴道出现不归则出血怎么办？,临床表现(病症表现),3
盐酸小辟碱片和果导片一样么？,其他,12
冒昧问一下硫化氢中毒能治吗,治愈率,8
我妈妈检查出是冠心病了，朋友建议服用芪苈强心胶囊这个药治疗，芪苈强心胶囊可以有效治疗吗？,其他,12
小便痛，是什么原因呢？,临床表现(病症表现),3
打扰问一下黄水疮完全治愈要多久,治疗时间,11
我是有点高血糖的，但是不是很厉害的，服用了该药了的，效果还是不错的，我的血糖不高了的。,其他,12
我17岁了尿床那现在要怎么办的呢不知道啊,治疗方法,5
有糖尿病已经是有十年左右了，最经很严重，可以可以加多胰岛素的量来治疗吗？,治疗方法,5
如何才可以躲避晕痣,预防,2
我想请问一下，小便赤黄，喉咙痛嘴里干苦哪里有问题呢,病因,1
什么是先天性心脏病？,定义,0
宝宝额头撞了个大包怎么办啊？可以用红花油吗？还有其他刺激性小一点的办法吗？,其他,12
血管性脂肪瘤长什么样,相关病症,4
得知有糖尿病就说有肾病综合症了，十月分开始水肿，反复住院,临床表现(病症表现),3
做完痔疮手术后能吃中药来消炎止痛吗？,禁忌,9
溃疡性直肠炎治疗了但一年里反复几次，有好的方法治疗溃疡性直肠炎的吗？有没有中医治疗方法？,其他,12
你好，我想大概问一下啊我要买步长稳心颗粒,其他,12
多发性神经纤维瘤病怎么回事,定义,0
请问月经流血时间过长怎么办？,治疗方法,5
请家长们提出你们的宝贵意见行不？儿子今年五岁了，他想学习武术，这么小去学武术会受伤吗？,其他,12
残胃平滑肌肉瘤能治好不,治愈率,8
"我服用了腰痛宁胶囊三盒了,为什么,还不敢走路整个腿都痛，为什么啊？",临床表现(病症表现),3
月经量很少，肝火旺，甲状腺结节，您能不能帮我分析分析是怎么回事啊？,病因,1
